source,destination,total_distance,regenerators,opcs,residual_distance,status
1,2,800.0,,,800.0,OK
1,3,1920.0,,26,320.0,OK
1,4,2240.0,27,26,640.0,OK
1,5,2880.0,27,26,1280.0,OK
1,6,1040.0,,,1040.0,OK
1,7,2080.0,30,,1040.0,OK
1,8,3280.0,30;31,,1200.0,OK
1,9,2240.0,30,,1200.0,OK
1,10,3280.0,30;33,,1040.0,OK
1,11,2960.0,30,,1920.0,OK
1,12,3280.0,30;33,,1040.0,OK
1,13,4240.0,30;33,36,2080.0,OK
1,14,4160.0,30;33,34,2080.0,OK
1,15,4320.0,30;35,,1360.0,OK
1,16,4320.0,30;33;36,,1040.0,OK
1,17,5360.0,30;33;37,36,1200.0,OK
1,18,5360.0,30;33;38,34,1360.0,OK
1,19,5600.0,,,0.0,UNREACHABLE
1,20,5680.0,30;35;39,,1360.0,OK
1,21,5360.0,30;33;36;40,,1040.0,OK
1,22,5120.0,30;33;36,40,2080.0,OK
1,23,5760.0,30;33;36;46,40,880.0,OK
1,24,6320.0,30;33;38;42,34,1120.0,OK
2,1,800.0,,,800.0,OK
2,3,1120.0,,,1120.0,OK
2,4,1440.0,,27,800.0,OK
2,5,2080.0,27,,960.0,OK
2,6,960.0,,,960.0,OK
2,7,2000.0,,30,80.0,OK
2,8,3200.0,31,30,1280.0,OK
2,9,2160.0,30,,1200.0,OK
2,10,3200.0,30;33,,1040.0,OK
2,11,2880.0,30,,1920.0,OK
2,12,3200.0,30;33,,1040.0,OK
2,13,4160.0,30;33,36,2080.0,OK
2,14,4080.0,30;33,34,2080.0,OK
2,15,4240.0,30;35,,1360.0,OK
2,16,4240.0,30;33;36,,1040.0,OK
2,17,5280.0,30;33;37,36,1200.0,OK
2,18,5280.0,30;33;38,34,1360.0,OK
2,19,5520.0,,,0.0,UNREACHABLE
2,20,5600.0,30;35;39,,1360.0,OK
2,21,5280.0,30;33;36;40,,1040.0,OK
2,22,5040.0,30;33;36,40,2080.0,OK
2,23,5680.0,30;33;36;46,40,880.0,OK
2,24,6240.0,30;33;38;42,34,1120.0,OK
3,1,1920.0,,26,320.0,OK
3,2,1120.0,,,1120.0,OK
3,4,320.0,,,320.0,OK
3,5,960.0,,,960.0,OK
3,6,2080.0,31,,1040.0,OK
3,7,1040.0,,,1040.0,OK
3,8,2160.0,29,,1200.0,OK
3,9,2080.0,31,,1040.0,OK
3,10,3120.0,31;33,,1040.0,OK
3,11,3520.0,31;33,,1440.0,OK
3,12,3120.0,31;33,,1040.0,OK
3,13,4080.0,31;33,36,2080.0,OK
3,14,4000.0,31;33,34,2080.0,OK
3,15,4800.0,31;33;36,40,2080.0,OK
3,16,4160.0,31;33;36,,1040.0,OK
3,17,5200.0,31;33;37,36,1200.0,OK
3,18,5200.0,31;33;38,34,1360.0,OK
