SourceNodeID,DestinationNodeID,RegeneratorLocations,NumberOfRegenerators,OPCLocations,ResidualDistance_km
1,2,None,0,25,800.0
1,3,25,1,26,1119.99
1,4,25,1,27,1439.99
1,5,"25,26",2,27,0.01
1,6,None,0,25,1040.0
1,7,25,1,30,1039.99
1,8,"25,30",2,31,0.01
1,9,25,1,30,1199.99
1,10,"25,30",2,33,0.01
1,11,"25,30",2,None,0.0
1,12,"25,30",2,33,0.01
1,13,"25,30,33",3,36,0.0
1,14,"25,30,33",3,34,0.0
1,15,"25,30",2,35,0.01
1,16,"25,30,33",3,36,0.0
1,17,"25,30,33,36",4,37,0.0
1,18,"25,30,33,34",4,38,0.0
1,19,"25,30,35",3,None,0.0
1,20,"25,30,35",3,39,0.0
1,21,"25,30,33,36",4,40,0.0
1,22,"25,30,33,36",4,40,0.0
1,23,"25,30,33,36",4,46,0.0
1,24,"25,30,33,34,38",5,42,0.0
2,1,None,0,26,800.0
2,3,None,0,26,1120.0
2,4,None,0,27,800.0
2,5,26,1,27,959.99
2,6,None,0,26,960.0
2,7,26,1,30,1039.99
2,8,"26,30",2,31,0.01
2,9,26,1,30,1199.99
2,10,"26,30",2,33,0.01
2,11,"26,30",2,None,0.0
2,12,"26,30",2,33,0.01
2,13,"26,30,33",3,36,0.0
2,14,"26,30,33",3,34,0.0
2,15,"26,30",2,35,0.01
2,16,"26,30,33",3,36,0.0
2,17,"26,30,33,36",4,37,0.0
2,18,"26,30,33,34",4,38,0.0
2,19,"26,30,35",3,None,0.0
2,20,"26,30,35",3,39,0.0
2,21,"26,30,33,36",4,40,0.0
2,22,"26,30,33,36",4,40,0.0
2,23,"26,30,33,36",4,46,0.0
2,24,"26,30,33,34,38",5,42,0.0
3,1,27,1,26,799.99
3,2,None,0,27,1120.0
3,4,None,0,27,320.0
3,5,None,0,27,960.0
3,6,27,1,31,1039.99
3,7,None,0,27,1040.0
3,8,27,1,29,1199.99
3,9,27,1,31,1039.99
3,10,"27,31",2,33,0.01
3,11,"27,31",2,33,0.01
3,12,"27,31",2,33,0.01
3,13,"27,31,33",3,36,0.0
3,14,"27,31,33",3,34,0.0
3,15,"27,31,33,36",4,40,0.0
3,16,"27,31,33",3,36,0.0
3,17,"27,31,33,36",4,37,0.0
3,18,"27,31,33,34",4,38,0.0
3,19,"27,31,33,35",4,None,0.0
3,20,"27,31,33,36,40",5,45,0.0
3,21,"27,31,33,36",4,40,0.0
3,22,"27,31,33,36",4,40,0.0
3,23,"27,31,33,36",4,46,0.0
3,24,"27,31,33,34,38",5,42,0.0
4,1,27,1,"28,26",2239.98
4,2,None,0,27,800.0
4,3,None,0,28,320.0
4,5,None,0,28,800.0
4,6,28,1,31,1039.99
4,7,None,0,28,880.0
4,8,28,1,29,1199.99
4,9,28,1,31,1039.99
4,10,"28,31",2,33,0.01
4,11,"28,31",2,33,0.01
4,12,"28,31",2,33,0.01
4,13,"28,31,33",3,36,0.0
4,14,"28,31,33",3,34,0.0
4,15,"28,31,33,36",4,40,0.0
4,16,"28,31,33",3,36,0.0
4,17,"28,31,33,36",4,37,0.0
4,18,"28,31,33,34",4,38,0.0
4,19,"28,31,33,35",4,None,0.0
4,20,"28,31,33,36,40",5,45,0.0
4,21,"28,31,33,36",4,40,0.0
4,22,"28,31,33,36",4,40,0.0
4,23,"28,31,33,36",4,46,0.0
4,24,"28,31,33,34,38",5,42,0.0
5,1,"29,27",2,26,0.01
5,2,29,1,27,1119.99
5,3,None,0,29,960.0
5,4,None,0,29,800.0
5,6,"29,28",2,31,0.01
5,7,29,1,28,879.99
5,8,None,0,29,1200.0
5,9,"29,28",2,31,0.01
5,10,29,1,32,959.99
5,11,"29,28,31",3,33,0.0
5,12,"29,28,31",3,33,0.0
5,13,"29,32",2,34,0.01
5,14,"29,32",2,34,0.01
5,15,"29,28,31,33,36",5,40,0.0
5,16,"29,28,31,33",4,36,0.0
5,17,"29,32,34",3,37,0.0
5,18,"29,32,34",3,38,0.0
5,19,"29,28,31,33,35",5,None,0.0
5,20,"29,32,34,37,46",5,"41,45",0.01
5,21,"29,32,34,37",4,46,0.0
5,22,"29,32,34,37",4,41,0.0
5,23,"29,32,34,37",4,41,0.0
5,24,"29,32,34,38",4,42,0.0
6,1,None,0,30,1040.0
6,2,None,0,30,960.0
6,3,30,1,26,1119.99
6,4,30,1,31,879.99
6,5,"30,31",2,28,0.01
6,7,None,0,30,1040.0
6,8,30,1,31,1199.99
6,9,None,0,30,1200.0
6,10,30,1,33,1039.99
6,11,"6,30",2,None,0.0
6,12,30,1,33,1039.99
6,13,"30,33",2,36,0.01
6,14,"30,33",2,34,0.01
6,15,"6,30",2,35,0.01
6,16,"30,33",2,36,0.01
6,17,"30,33,36",3,37,0.0
6,18,"30,33,34",3,38,0.0
6,19,"6,30,35",3,None,0.0
6,20,"6,30,35",3,39,0.0
6,21,"30,33,36",3,40,0.0
6,22,"30,33,36",3,40,0.0
6,23,"30,33,36",3,46,0.01
6,24,"30,33,34,38",4,42,0.0
7,1,31,1,30,1039.99
7,2,31,1,30,959.99
